names,sum.r.a,no.samples,av.r.a.abund,pcnt.samples
Otu000002,1023,35,1.46142857142857,100
Otu000004,214,25,0.428,71.4285714285714
Otu000009,12590,35,17.9857142857143,100
Otu000010,72,18,0.2,51.4285714285714
Otu000011,2334,34,3.43235294117647,97.1428571428571
Otu000014,1510,35,2.15714285714286,100
Otu000016,116,29,0.2,82.8571428571429
Otu000019,569,35,0.812857142857143,100
Otu000021,4986,34,7.33235294117647,97.1428571428571
Otu000024,3214,33,4.86969696969697,94.2857142857143
Otu000025,2272,35,3.24571428571429,100
Otu000027,379,35,0.541428571428571,100
Otu000028,3101,35,4.43,100
Otu000029,125,32,0.1953125,91.4285714285714
Otu000030,86,26,0.165384615384615,74.2857142857143
Otu000033,435,29,0.75,82.8571428571429
Otu000039,2440,33,3.6969696969697,94.2857142857143
Otu000042,824,35,1.17714285714286,100
Otu000046,192,33,0.290909090909091,94.2857142857143
Otu000054,109,34,0.160294117647059,97.1428571428571
Otu000066,1019,32,1.5921875,91.4285714285714
Otu000081,1009,34,1.48382352941176,97.1428571428571
Otu000082,38,18,0.105555555555556,51.4285714285714
Otu000084,70,29,0.120689655172414,82.8571428571429
Otu000085,834,30,1.39,85.7142857142857
Otu000089,655,34,0.963235294117647,97.1428571428571
Otu000092,640,25,1.28,71.4285714285714
Otu000099,733,33,1.11060606060606,94.2857142857143
Otu000105,153,31,0.246774193548387,88.5714285714286
Otu000111,425,34,0.625,97.1428571428571
Otu000121,448,33,0.678787878787879,94.2857142857143
Otu000129,278,34,0.408823529411765,97.1428571428571
Otu000130,256,33,0.387878787878788,94.2857142857143
Otu000132,604,35,0.862857142857143,100
Otu000141,449,24,0.935416666666667,68.5714285714286
Otu000147,489,32,0.7640625,91.4285714285714
Otu000150,445,32,0.6953125,91.4285714285714
Otu000152,256,20,0.64,57.1428571428571
Otu000159,412,34,0.605882352941177,97.1428571428571
Otu000164,422,35,0.602857142857143,100
Otu000165,367,35,0.524285714285714,100
Otu000174,87,26,0.167307692307692,74.2857142857143
Otu000177,317,35,0.452857142857143,100
Otu000180,406,34,0.597058823529412,97.1428571428571
Otu000190,52,26,0.1,74.2857142857143
Otu000196,316,34,0.464705882352941,97.1428571428571
Otu000206,222,27,0.411111111111111,77.1428571428571
Otu000210,158,34,0.232352941176471,97.1428571428571
Otu000225,321,32,0.5015625,91.4285714285714
Otu000230,169,32,0.2640625,91.4285714285714
Otu000246,249,34,0.366176470588235,97.1428571428571
Otu000252,187,19,0.492105263157895,54.2857142857143
Otu000260,198,29,0.341379310344828,82.8571428571429
Otu000265,219,33,0.331818181818182,94.2857142857143
Otu000276,177,35,0.252857142857143,100
Otu000281,192,32,0.3,91.4285714285714
Otu000282,202,31,0.325806451612903,88.5714285714286
Otu000285,170,33,0.257575757575758,94.2857142857143
Otu000290,144,32,0.225,91.4285714285714
Otu000291,78,31,0.125806451612903,88.5714285714286
Otu000296,112,21,0.266666666666667,60
Otu000306,149,33,0.225757575757576,94.2857142857143
Otu000308,39,20,0.0975,57.1428571428571
Otu000318,178,30,0.296666666666667,85.7142857142857
Otu000322,99,25,0.198,71.4285714285714
Otu000325,160,33,0.242424242424242,94.2857142857143
Otu000331,131,20,0.3275,57.1428571428571
Otu000339,154,32,0.240625,91.4285714285714
Otu000352,134,30,0.223333333333333,85.7142857142857
Otu000356,99,30,0.165,85.7142857142857
Otu000366,129,25,0.258,71.4285714285714
Otu000372,42,21,0.1,60
Otu000384,138,33,0.209090909090909,94.2857142857143
Otu000387,116,29,0.2,82.8571428571429
Otu000388,83,18,0.230555555555556,51.4285714285714
Otu000391,127,31,0.204838709677419,88.5714285714286
Otu000394,68,32,0.10625,91.4285714285714
Otu000402,45,19,0.118421052631579,54.2857142857143
Otu000410,89,29,0.153448275862069,82.8571428571429
Otu000428,94,27,0.174074074074074,77.1428571428571
Otu000431,94,27,0.174074074074074,77.1428571428571
Otu000441,103,33,0.156060606060606,94.2857142857143
Otu000450,39,21,0.0928571428571429,60
Otu000456,53,26,0.101923076923077,74.2857142857143
Otu000459,98,32,0.153125,91.4285714285714
Otu000470,89,29,0.153448275862069,82.8571428571429
Otu000473,92,20,0.23,57.1428571428571
Otu000474,46,23,0.1,65.7142857142857
Otu000484,84,26,0.161538461538462,74.2857142857143
Otu000492,84,19,0.221052631578947,54.2857142857143
Otu000508,76,22,0.172727272727273,62.8571428571429
Otu000530,69,28,0.123214285714286,80
Otu000536,83,30,0.138333333333333,85.7142857142857
Otu000537,62,23,0.134782608695652,65.7142857142857
Otu000547,59,24,0.122916666666667,68.5714285714286
Otu000551,55,27,0.101851851851852,77.1428571428571
Otu000562,51,19,0.134210526315789,54.2857142857143
Otu000564,64,28,0.114285714285714,80
Otu000575,38,24,0.0791666666666667,68.5714285714286
Otu000580,57,19,0.15,54.2857142857143
Otu000596,45,25,0.09,71.4285714285714
Otu000598,54,19,0.142105263157895,54.2857142857143
Otu000615,49,21,0.116666666666667,60
Otu000616,60,23,0.130434782608696,65.7142857142857
Otu000625,56,22,0.127272727272727,62.8571428571429
Otu000629,64,24,0.133333333333333,68.5714285714286
Otu000662,39,22,0.0886363636363636,62.8571428571429
Otu000677,61,22,0.138636363636364,62.8571428571429
Otu000691,40,23,0.0869565217391304,65.7142857142857
Otu000709,44,18,0.122222222222222,51.4285714285714
Otu000711,42,18,0.116666666666667,51.4285714285714
Otu000719,40,18,0.111111111111111,51.4285714285714
Otu000722,50,23,0.108695652173913,65.7142857142857
Otu000731,47,19,0.123684210526316,54.2857142857143
Otu000738,39,22,0.0886363636363636,62.8571428571429
Otu000751,47,20,0.1175,57.1428571428571
Otu000787,41,21,0.0976190476190476,60
Otu000797,42,23,0.091304347826087,65.7142857142857
Otu000805,39,18,0.108333333333333,51.4285714285714
Otu000807,39,18,0.108333333333333,51.4285714285714
Otu000827,40,22,0.0909090909090909,62.8571428571429
