edge,from,to,spieceasi.weight,Pcr,Ppval,sparcc.corr,sparcc.ppvals,union.corr
Otu000002_to_Otu000042,Otu000002,Otu000029,NA,0.852312432,6.72e-09,0.459151168277925,0,0.655731800138962
Otu000002_to_Otu000121,Otu000002,Otu000030,NA,0.834639796,3.12e-08,0.308983086887092,0,0.571811441443546
Otu000002_to_Otu000230,Otu000002,Otu000042,NA,0.597782254,0.001444278,0.381679218768151,0,0.489730736384075
Otu000002_to_Otu000265,Otu000002,Otu000046,NA,0.844844188,1.32e-08,0.354875605514888,0,0.599859896757444
Otu000004_to_Otu000010,Otu000002,Otu000054,NA,0.812890527,1.59e-07,0.519536909304094,0,0.666213718152047
Otu000004_to_Otu000011,Otu000002,Otu000099,NA,0.670012007,0.00016405,0.727705708455269,0,0.698858857727634
Otu000004_to_Otu000016,Otu000002,Otu000111,NA,0.631198273,0.000568328,0.419855753750167,0,0.525527013375083
Otu000004_to_Otu000021,Otu000002,Otu000121,NA,0.529148248,0.006911744,-0.582021244607494,0,-0.026436498303747
Otu000004_to_Otu000024,Otu000002,Otu000159,NA,0.644449279,0.000378623,0.540705986207789,0,0.592577632603895
Otu000004_to_Otu000025,Otu000002,Otu000164,NA,0.782716172,1.06e-06,0.691186794375332,0,0.736951483187666
Otu000004_to_Otu000027,Otu000002,Otu000165,NA,0.550551969,0.004418893,0.355326397559634,0.002,0.452939183279817
Otu000004_to_Otu000028,Otu000002,Otu000180,NA,0.526223921,0.007354929,-0.495344214426149,0,0.0154398532869255
Otu000004_to_Otu000033,Otu000002,Otu000225,NA,0.704337155,4.55e-05,0.626068346832149,0.046,0.665202750916075
Otu000004_to_Otu000042,Otu000002,Otu000230,NA,0.782217739,1.09e-06,0.359208785837263,0,0.570713262418632
Otu000004_to_Otu000066,Otu000002,Otu000265,NA,0.801007931,3.53e-07,-0.525359025831233,0,0.137824452584384
Otu000004_to_Otu000081,Otu000002,Otu000285,NA,0.724785469,1.95e-05,-0.560770453573874,0.028,0.082007507713063
Otu000004_to_Otu000085,Otu000002,Otu000290,NA,0.850569528,7.96e-09,-0.570914065935014,0.016,0.139827731032493
Otu000004_to_Otu000089,Otu000002,Otu000306,NA,0.684740444,9.76e-05,0.679224932914684,0,0.681982688457342
Otu000004_to_Otu000092,Otu000002,Otu000308,NA,0.517378541,0.008771115,0.667107402815153,0,0.592242971907577
Otu000004_to_Otu000099,Otu000002,Otu000325,NA,0.748826065,6.43e-06,-0.654841538353108,0.002,0.046992263323446
Otu000004_to_Otu000105,Otu000002,Otu000370,NA,0.629875964,0.000590403,0.338104181884223,0.002,0.483990072942111
Otu000004_to_Otu000121,Otu000002,Otu000375,NA,0.554321397,0.004087277,0.516103139302877,0.018,0.535212268151439
Otu000004_to_Otu000132,Otu000002,Otu000384,NA,0.562991062,0.003373697,-0.376966344930611,0,0.0930123585346945
Otu000004_to_Otu000141,Otu000002,Otu000391,NA,0.605389938,0.001182196,-0.519493005350962,0.012,0.042948466324519
Otu000004_to_Otu000147,Otu000002,Otu000410,NA,0.770496895,2.1e-06,-0.314102080540366,0.00600000000000001,0.228197407229817
Otu000004_to_Otu000388,Otu000002,Otu000459,NA,0.631424125,0.000564889,0.574429283832716,0,0.602926704416358
Otu000004_to_Otu000402,Otu000002,Otu000470,NA,0.627529398,0.000632185,0.445659992163841,0.002,0.53659469508192
Otu000004_to_Otu000431,Otu000002,Otu000473,NA,0.591933249,0.001681707,0.428936919386173,0,0.510435084193086
Otu000004_to_Otu000492,Otu000002,Otu000484,NA,0.837400349,2.49e-08,-0.337847433977648,0,0.249776457511176
Otu000004_to_Otu000598,Otu000002,Otu000530,NA,0.521845991,0.008019077,0.550540200958099,0.04,0.53619309597905
Otu000009_to_Otu000174,Otu000002,Otu000536,NA,0.671790987,0.000154655,0.361684077193866,0,0.516737532096933
Otu000009_to_Otu000177,Otu000002,Otu000564,NA,0.714769006,2.97e-05,0.479141788918665,0,0.596955397459332
Otu000009_to_Otu000206,Otu000002,Otu000615,NA,0.532050248,0.006507933,-0.573849659506101,0.006,-0.0208997057530505
Otu000009_to_Otu000225,Otu000002,Otu000625,NA,0.608752719,0.001077883,0.393812456594525,0,0.501282587797263
Otu000009_to_Otu000246,Otu000002,Otu000677,NA,0.728275143,1.68e-05,-0.417269377065683,0,0.155502882967158
Otu000009_to_Otu000252,Otu000002,Otu000721,NA,0.762522967,3.22e-06,-0.627144794765439,0.036,0.0676890861172805
Otu000009_to_Otu000260,Otu000002,Otu000731,NA,0.781682738,1.12e-06,0.622785814440185,0,0.702234276220092
Otu000009_to_Otu000281,Otu000002,Otu000751,NA,0.613165854,0.000957688,0.389903585082215,0,0.501534719541108
Otu000009_to_Otu000282,Otu000002,Otu000779,NA,0.514501966,0.00928821,0.730725699828452,0,0.622613832914226
Otu000009_to_Otu000296,Otu000002,Otu000799,NA,0.608124873,0.001096669,-0.412227318688661,0,0.0979487771556695
Otu000009_to_Otu000331,Otu000002,Otu000808,NA,0.753960779,4.96e-06,-0.574885433624135,0,0.0895376726879325
Otu000009_to_Otu000352,Otu000002,Otu000846,NA,0.666022766,0.000188741,0.39346328942681,0,0.529743027713405
Otu000009_to_Otu000366,Otu000002,Otu000901,NA,0.639339077,0.000441788,0.475932219568418,0,0.557635648284209
Otu000009_to_Otu000384,Otu000002,Otu000957,NA,0.585248943,0.001984503,0.332503719355932,0,0.458876331177966
Otu000009_to_Otu000388,Otu000002,Otu000959,NA,0.528199096,0.007055791,-0.585730992860099,0,-0.0287659484300495
Otu000009_to_Otu000394,Otu000002,Otu000978,NA,0.615977946,0.000884046,0.323488078524958,0.002,0.469733012262479
Otu000009_to_Otu000402,Otu000002,Otu001041,NA,0.643978967,0.000383898,-0.44018801945811,0.018,0.101895473770945
Otu000009_to_Otu000431,Otu000002,Otu001050,NA,0.544302214,0.005019899,-0.504761654575235,0,0.0197702797123825
Otu000009_to_Otu000470,Otu000002,Otu001053,NA,0.603908108,0.001224667,0.36892908336019,0,0.486418595680095
Otu000009_to_Otu000508,Otu000002,Otu001059,NA,0.708922269,3.82e-05,0.573468955707639,0,0.641195612353819
Otu000009_to_Otu000537,Otu000002,Otu001100,NA,0.523237695,0.007793683,0.3622831367816,0,0.4427604158908
Otu000009_to_Otu000598,Otu000004,Otu000009,NA,-0.67114509,0.000157979,-0.523392869936728,0,-0.597268979968364
Otu000009_to_Otu000709,Otu000004,Otu000010,NA,0.774832474,1.65e-06,0.514855242093434,0,0.644843858046717
Otu000009_to_Otu000711,Otu000004,Otu000011,NA,0.866588935,1.68e-09,-0.388015169554408,0.012,0.239286882722796
Otu000009_to_Otu000805,Otu000004,Otu000019,NA,0.551493195,0.004349286,0.52576092834142,0,0.53862706167071
Otu000009_to_Otu000807,Otu000004,Otu000021,NA,-0.573293459,0.002664743,0.40206947797152,0,-0.08561199051424
Otu000010_to_Otu000011,Otu000004,Otu000024,NA,0.687139027,8.96e-05,0.548364760704038,0.002,0.617751893852019
Otu000010_to_Otu000019,Otu000004,Otu000025,NA,0.607214584,0.001120542,0.48060631814024,0.028,0.54391045107012
Otu000010_to_Otu000021,Otu000004,Otu000028,NA,-0.692818655,7.28e-05,-0.412894252825213,0.002,-0.552856453912607
Otu000010_to_Otu000024,Otu000004,Otu000033,NA,0.774314417,1.7e-06,0.363287184834221,0.006,0.56880080091711
Otu000010_to_Otu000025,Otu000004,Otu000085,NA,-0.62242215,0.00073617,0.50871247817389,0.00600000000000001,-0.056854835913055
Otu000010_to_Otu000029,Otu000004,Otu000089,NA,0.891289055,1.05e-10,-0.335142131337323,0,0.278073461831339
Otu000010_to_Otu000085,Otu000004,Otu000092,NA,0.724010694,2.01e-05,-0.472712390358472,0,0.125649151820764
Otu000010_to_Otu000092,Otu000004,Otu000150,NA,-0.65014361,0.000317898,0.58534095655615,0,-0.032401326721925
Otu000010_to_Otu000099,Otu000004,Otu000152,NA,0.965794452,1.77e-17,-0.611610259847266,0,0.177092096076367
Otu000010_to_Otu000105,Otu000004,Otu000161,NA,0.884325148,2.29e-10,0.364357756057566,0.004,0.624341452028783
Otu000010_to_Otu000132,Otu000004,Otu000165,NA,-0.585202296,0.001984503,-0.417754998812012,0,-0.501478647406006
Otu000010_to_Otu000141,Otu000004,Otu000168,NA,0.802611617,3.16e-07,-0.32122838062304,0.00600000000000001,0.24069161818848
Otu000010_to_Otu000150,Otu000004,Otu000206,NA,0.917774227,2.65e-12,-0.397597841547473,0.00600000000000001,0.260088192726263
Otu000010_to_Otu000152,Otu000004,Otu000252,NA,0.829141302,4.76e-08,0.593201108608278,0.036,0.711171205304139
Otu000010_to_Otu000165,Otu000004,Otu000260,NA,-0.513314083,0.009519945,-0.48056659528215,0,-0.496940339141075
Otu000010_to_Otu000246,Otu000004,Otu000296,NA,0.547301526,0.004725858,0.335483815484541,0,0.441392670742271
Otu000010_to_Otu000252,Otu000004,Otu000318,NA,-0.516663281,0.008880158,0.528760571077366,0,0.00604864503868296
Otu000010_to_Otu000260,Otu000004,Otu000322,NA,-0.629176601,0.000603224,-0.332057068797694,0.002,-0.480616834898847
Otu000010_to_Otu000366,Otu000004,Otu000331,NA,0.905450906,1.86e-11,-0.402455125092221,0,0.251497890453889
Otu000011_to_Otu000016,Otu000004,Otu000356,NA,0.559559505,0.003636879,0.47198777583426,0,0.51577364041713
Otu000011_to_Otu000019,Otu000004,Otu000388,NA,0.950427599,2.7e-15,0.65569197921146,0,0.80305978910573
Otu000011_to_Otu000027,Otu000004,Otu000394,NA,-0.517323976,0.008779851,0.429048848081262,0.01,-0.044137563959369
Otu000011_to_Otu000028,Otu000004,Otu000402,NA,0.733438529,1.33e-05,-0.668551283196108,0.032,0.032443622901946
Otu000011_to_Otu000042,Otu000004,Otu000505,NA,0.862675048,2.56e-09,0.647237274694815,0,0.754956161347408
Otu000011_to_Otu000322,Otu000004,Otu000537,NA,-0.54758988,0.004700557,-0.502622257039252,0.002,-0.525106068519626
Otu000011_to_Otu000356,Otu000004,Otu000547,NA,-0.617988286,0.000834467,0.307419794745385,0.03,-0.155284245627307
Otu000011_to_Otu000366,Otu000004,Otu000579,NA,0.918687435,2.35e-12,-0.406593933587662,0.026,0.256046750706169
Otu000011_to_Otu000391,Otu000004,Otu000598,NA,0.894696655,7.1e-11,0.363687877640477,0.002,0.629192266320239
Otu000011_to_Otu000537,Otu000004,Otu000602,NA,0.865095202,1.98e-09,-0.384295435538661,0,0.240399883230669
Otu000011_to_Otu000598,Otu000004,Otu000632,NA,0.840574395,1.91e-08,0.533633531575466,0,0.687103963287733
Otu000011_to_Otu000709,Otu000004,Otu000651,NA,0.945330865,9.95e-15,-0.378300082316431,0,0.283515391341784
Otu000011_to_Otu000805,Otu000004,Otu000709,NA,-0.564886945,0.003232857,-0.413784330985545,0,-0.489335637992773
Otu000011_to_Otu000807,Otu000004,Otu000711,NA,0.522948197,0.007839356,-0.361967263694882,0,0.080490466652559
Otu000014_to_Otu000021,Otu000004,Otu000718,NA,0.935525024,1.14e-13,-0.314757296802086,0.018,0.310383863598957
Otu000014_to_Otu000121,Otu000004,Otu000765,NA,-0.511952005,0.009765697,0.331469803631936,0.014,-0.090241100684032
Otu000014_to_Otu000159,Otu000004,Otu000805,NA,-0.556537457,0.003875968,0.325269498259731,0,-0.115633979370135
Otu000014_to_Otu000246,Otu000004,Otu000831,NA,0.525646926,0.007446658,0.37388813782653,0,0.449767531913265
Otu000014_to_Otu000260,Otu000004,Otu000854,NA,0.83388954,3.28e-08,-0.323261791514135,0,0.255313874242933
Otu000014_to_Otu000387,Otu000004,Otu000872,NA,0.572553069,0.002706782,0.391583181362945,0,0.482068125181473
Otu000014_to_Otu000473,Otu000004,Otu000902,NA,-0.581417839,0.002189446,0.318671589297768,0,-0.131373124851116
Otu000014_to_Otu000492,Otu000004,Otu000910,NA,-0.646341755,0.000357751,-0.340442669468404,0,-0.493392212234202
Otu000014_to_Otu000508,Otu000004,Otu000968,NA,-0.550295428,0.004440546,-0.372553336539286,0,-0.461424382269643
Otu000014_to_Otu000709,Otu000004,Otu000988,NA,-0.553551033,0.004164844,-0.383415878983549,0,-0.468483455991774
Otu000014_to_Otu000805,Otu000004,Otu001001,NA,-0.553473449,0.004168234,-0.348160675492793,0,-0.450817062246397
Otu000016_to_Otu000092,Otu000009,Otu000010,NA,-0.572129743,0.002734598,0.359096325930836,0.00600000000000001,-0.106516708534582
Otu000016_to_Otu000152,Otu000009,Otu000011,NA,-0.722807188,2.12e-05,0.361035126265737,0.02,-0.180886030867131
Otu000019_to_Otu000021,Otu000009,Otu000019,NA,-0.759419962,3.81e-06,-0.667726008691227,0,-0.713572985345613
Otu000019_to_Otu000025,Otu000009,Otu000021,NA,0.813367543,1.55e-07,0.67366390042747,0.01,0.743515721713735
Otu000019_to_Otu000027,Otu000009,Otu000025,NA,-0.571490846,0.002774085,0.315830576543916,0.002,-0.127830134728042
Otu000019_to_Otu000028,Otu000009,Otu000033,NA,-0.727589475,1.72e-05,-0.554215682802967,0.022,-0.640902578901483
Otu000019_to_Otu000039,Otu000009,Otu000042,NA,-0.629618952,0.000595441,-0.650273266764263,0,-0.639946109382131
Otu000019_to_Otu000042,Otu000009,Otu000066,NA,0.635827164,0.000490238,0.523592630298845,0.004,0.579709897149422
Otu000019_to_Otu000066,Otu000009,Otu000075,NA,-0.552587329,0.004249403,-0.561452449026333,0.006,-0.557019889013166
Otu000019_to_Otu000081,Otu000009,Otu000082,NA,-0.525810441,0.007424673,-0.389148143146032,0.014,-0.457479292073016
Otu000019_to_Otu000085,Otu000009,Otu000085,NA,0.734286676,1.28e-05,-0.62107467475072,0,0.05660600062464
Otu000019_to_Otu000089,Otu000009,Otu000089,NA,-0.558755373,0.003691059,0.65134630633227,0.01,0.046295466666135
Otu000019_to_Otu000092,Otu000009,Otu000105,NA,-0.665729625,0.000190493,0.63898124202256,0.006,-0.01337419148872
Otu000019_to_Otu000121,Otu000009,Otu000121,NA,-0.657891991,0.000246433,0.650324424869209,0,-0.00378378306539545
Otu000019_to_Otu000141,Otu000009,Otu000141,NA,0.795912779,4.81e-07,-0.536797859874795,0.008,0.129557459562603
Otu000019_to_Otu000150,Otu000009,Otu000150,NA,0.594750014,0.001571106,-0.582167024396396,0.012,0.00629149480180202
Otu000019_to_Otu000165,Otu000009,Otu000152,NA,-0.60881642,0.001077074,-0.497865617006616,0.012,-0.553341018503308
Otu000019_to_Otu000206,Otu000009,Otu000161,NA,-0.572543402,0.002706782,0.496675272388437,0.006,-0.0379340648057815
Otu000019_to_Otu000252,Otu000009,Otu000168,NA,-0.573214133,0.002668313,0.571977143272539,0.02,-0.000618494863730501
Otu000019_to_Otu000260,Otu000009,Otu000206,NA,-0.585043118,0.001992107,-0.439914180454505,0,-0.512478649227253
Otu000019_to_Otu000296,Otu000009,Otu000246,NA,-0.62589649,0.000666322,0.328011599751151,0.004,-0.148942445124425
Otu000019_to_Otu000331,Otu000009,Otu000252,NA,-0.567931762,0.003013032,0.595535476150795,0.032,0.0138018570753976
Otu000019_to_Otu000388,Otu000009,Otu000265,NA,-0.551496559,0.004349286,0.513757668219397,0,-0.0188694453903016
Otu000019_to_Otu000431,Otu000009,Otu000296,NA,-0.546779417,0.004771192,0.401323420044521,0,-0.0727279984777395
Otu000019_to_Otu000492,Otu000009,Otu000309,NA,-0.597322543,0.001459769,-0.427994081820283,0.014,-0.512658312410141
Otu000019_to_Otu000807,Otu000009,Otu000322,NA,0.697113037,6.16e-05,-0.428802384514655,0.004,0.134155326242673
Otu000021_to_Otu000028,Otu000009,Otu000331,NA,-0.712914751,3.23e-05,0.82658048404262,0.028,0.05683286652131
Otu000021_to_Otu000033,Otu000009,Otu000356,NA,-0.690811979,7.84e-05,-0.594519565277725,0,-0.642665772138862
Otu000021_to_Otu000066,Otu000009,Otu000375,NA,-0.516154612,0.00896925,0.893092039001148,0,0.188468713500574
Otu000021_to_Otu000081,Otu000009,Otu000388,NA,-0.635738111,0.000491477,0.439976791242499,0.02,-0.0978806598787505
Otu000021_to_Otu000431,Otu000009,Otu000391,NA,-0.662910426,0.000208146,-0.477994136183886,0.006,-0.570452281091943
Otu000021_to_Otu000547,Otu000009,Otu000402,NA,-0.604429558,0.001207539,0.420906966199118,0.032,-0.091761295900441
Otu000021_to_Otu000709,Otu000009,Otu000410,NA,-0.564502253,0.003259547,0.606935246667624,0.038,0.021216496833812
Otu000021_to_Otu000805,Otu000009,Otu000422,NA,0.620629649,0.000774176,0.589996546106882,0.00800000000000001,0.605313097553441
Otu000021_to_Otu000807,Otu000009,Otu000428,NA,-0.578609367,0.002354021,0.491376017458326,0,-0.043616674770837
Otu000021_to_Otu000827,Otu000009,Otu000431,NA,-0.644650173,0.000376941,0.438823303234433,0,-0.102913434882784
Otu000024_to_Otu000025,Otu000009,Otu000492,NA,0.59022444,0.001752677,0.458688544141915,0,0.524456492070957
Otu000024_to_Otu000039,Otu000009,Otu000505,NA,-0.639585467,0.000439094,-0.528753722364226,0,-0.584169594682113
Otu000024_to_Otu000042,Otu000009,Otu000508,NA,0.615769522,0.000888613,0.380761274759239,0,0.498265398379619
Otu000024_to_Otu000081,Otu000009,Otu000562,NA,-0.604429653,0.001207539,-0.347031542396859,0,-0.47573059769843
Otu000024_to_Otu000089,Otu000009,Otu000579,NA,-0.729437392,1.59e-05,0.640252187833328,0,-0.044592602083336
Otu000024_to_Otu000092,Otu000009,Otu000598,NA,-0.636110371,0.000486609,0.633318442946028,0,-0.001395964026986
Otu000024_to_Otu000099,Otu000009,Otu000602,NA,-0.654954964,0.000270978,-0.407272178601842,0,-0.531113571300921
Otu000024_to_Otu000105,Otu000009,Otu000616,NA,-0.564218544,0.003278457,0.370621563616094,0.002,-0.096798490191953
Otu000024_to_Otu000141,Otu000009,Otu000632,NA,-0.731410019,1.45e-05,-0.42117539727018,0.012,-0.57629270813509
Otu000024_to_Otu000152,Otu000009,Otu000651,NA,-0.546174236,0.004825816,0.545200737772822,0,-0.000486749113589036
Otu000024_to_Otu000388,Otu000009,Otu000709,NA,0.785485255,9.05e-07,0.422568540451812,0.032,0.604026897725906
Otu000024_to_Otu000431,Otu000009,Otu000711,NA,-0.60921741,0.001067447,0.374188160107982,0,-0.117514624946009
Otu000024_to_Otu000709,Otu000009,Otu000718,NA,-0.60692937,0.001129092,-0.34421725816994,0.036,-0.47557331408497
Otu000025_to_Otu000027,Otu000009,Otu000719,NA,-0.518394679,0.0085921,0.551413202707331,0,0.0165092618536655
Otu000025_to_Otu000028,Otu000009,Otu000722,NA,0.723873164,2.02e-05,-0.677378883930036,0.002,0.023247140034982
Otu000025_to_Otu000042,Otu000009,Otu000805,NA,0.844325179,1.39e-08,0.487459555469307,0,0.665892367234654
Otu000025_to_Otu000081,Otu000009,Otu000807,NA,0.649357364,0.000326064,-0.561303674769553,0.002,0.0440268446152235
Otu000025_to_Otu000085,Otu000009,Otu000856,NA,0.572994421,0.002678961,-0.667537341703371,0.00800000000000001,-0.0472714603516855
Otu000025_to_Otu000121,Otu000009,Otu000872,NA,-0.522486103,0.007910921,0.615506518212119,0.026,0.0465102076060595
Otu000025_to_Otu000206,Otu000009,Otu000910,NA,0.807256927,2.33e-07,0.510831833372584,0.004,0.659044380186292
Otu000025_to_Otu000402,Otu000009,Otu000968,NA,0.602203251,0.001280922,0.36463877662374,0,0.48342101381187
Otu000025_to_Otu000431,Otu000009,Otu000978,NA,-0.603754789,0.001227859,0.418121717925448,0.012,-0.092816535537276
Otu000025_to_Otu000470,Otu000009,Otu000988,NA,0.525926672,0.007405454,-0.405047799929641,0,0.0604394360351795
Otu000025_to_Otu000492,Otu000009,Otu001053,NA,-0.556603366,0.003872311,-0.474410238319079,0,-0.515506802159539
Otu000025_to_Otu000508,Otu000010,Otu000011,NA,0.814832234,1.41e-07,-0.43109943306615,0.024,0.191866400466925
Otu000025_to_Otu000598,Otu000010,Otu000025,NA,0.648053804,0.000340831,0.450535812332019,0,0.54929480816601
Otu000025_to_Otu000709,Otu000010,Otu000028,NA,-0.625059209,0.000681248,-0.354255279715055,0.024,-0.489657244357527
Otu000025_to_Otu000711,Otu000010,Otu000033,NA,0.921779129,1.5e-12,0.424604289388074,0.01,0.673191709194037
Otu000025_to_Otu000805,Otu000010,Otu000085,NA,-0.532771009,0.006420105,-0.389866263135615,0.02,-0.461318636067807
Otu000027_to_Otu000085,Otu000010,Otu000089,NA,0.607137607,0.001122712,-0.322174481587827,0,0.142481562706086
Otu000027_to_Otu000092,Otu000010,Otu000092,NA,0.892023192,9.65e-11,0.303898342283149,0,0.597960767141575
Otu000027_to_Otu000105,Otu000010,Otu000150,NA,-0.564525422,0.003258934,0.343697757523073,0.002,-0.110413832238463
Otu000027_to_Otu000121,Otu000010,Otu000152,NA,0.806946487,2.37e-07,0.373532896235276,0,0.590239691617638
Otu000027_to_Otu000129,Otu000010,Otu000161,NA,0.828232019,5.08e-08,0.529227762789835,0,0.678729890894918
Otu000027_to_Otu000141,Otu000010,Otu000168,NA,0.949590872,3.33e-15,-0.357748151865017,0,0.295921360067491
Otu000027_to_Otu000152,Otu000010,Otu000206,NA,0.854735836,5.48e-09,0.365423672960337,0,0.610079754480168
Otu000027_to_Otu000180,Otu000010,Otu000252,NA,0.852674913,6.53e-09,-0.398419360115865,0.002,0.227127776442067
Otu000027_to_Otu000431,Otu000010,Otu000296,NA,0.657844669,0.000246564,0.315805509692392,0,0.486825089346196
Otu000028_to_Otu000033,Otu000010,Otu000322,NA,-0.539677968,0.005544681,-0.52554597590902,0.004,-0.53261197195451
Otu000028_to_Otu000039,Otu000010,Otu000331,NA,0.90655118,1.57e-11,0.429206725680123,0,0.667878952840061
Otu000028_to_Otu000042,Otu000010,Otu000388,NA,0.702285825,4.98e-05,-0.398950624493495,0.004,0.151667600253253
Otu000028_to_Otu000081,Otu000010,Otu000402,NA,0.898483528,4.64e-11,0.32584161339752,0,0.61216257069876
Otu000028_to_Otu000085,Otu000010,Otu000505,NA,0.882291302,2.92e-10,0.769742487992637,0.01,0.826016894996318
Otu000028_to_Otu000089,Otu000010,Otu000547,NA,-0.546115375,0.00482945,-0.471878886070401,0.004,-0.5089971305352
Otu000028_to_Otu000129,Otu000010,Otu000579,NA,0.901069566,3.28e-11,-0.304167149742921,0.002,0.29845120812854
Otu000028_to_Otu000141,Otu000010,Otu000598,NA,0.740306494,9.7e-06,0.634008695135202,0,0.687157594567601
Otu000028_to_Otu000152,Otu000010,Otu000602,NA,0.788057676,7.79e-07,-0.48427622710118,0,0.15189072444941
